Title,Year,Director,Rating,
The End of the World (1916),2017,Unknown,8.0,
End of the World (1931),1931,Abel Gance,5.3,
Deluge (1933),1933,Felix E. Feist,6.4,
Things to Come (1936),2021,Unknown,N/A,
Five (1951),1951,Arch Oboler,6.3,
When Worlds Collide (1951),1951,Rudolph Maté,6.6,
Captive Women (1952),1952,Stuart Gilmore,5.0,
Robot Monster (1953),1953,Phil Tucker,3.0,
Day the World Ended (1955),1955,Roger Corman,5.4,
World Without End (1956),1977,Unknown,N/A,
The Lost Missile (1958),1958,Lester Wm. Berke,5.1,
Teenage Caveman (1958),1958,Roger Corman,3.5,
On the Beach (1959),1959,Stanley Kramer,7.1,
"The World, the Flesh and the Devil (1959)",1959,Ranald MacDougall,6.8,
Beyond the Time Barrier (1960),1960,Edgar G. Ulmer,5.3,
Last Woman on Earth (1960),1960,Roger Corman,4.7,
Battle of the Worlds (1961),1970,Unknown,N/A,
The Last War (1961),1961,Shûe Matsubayashi,6.2,
The Day the Earth Caught Fire (1961),1961,Val Guest,7.2,
The Creation of the Humanoids (1962),1962,Wesley Barry,5.7,
Panic in Year Zero! (1962),1962,Ray Milland,6.6,
The Day of the Triffids (1962),2009,Unknown,7.0,
This Is Not a Test (1962),1962,Fredric Gadette,5.3,
La Jetée (1962),1962,Chris Marker,8.2,
Ladybug Ladybug (1963),1963,Frank Perry,7.2,
Dr. Strangelove or: How I Learned To Stop Worrying and Love the Bomb (1964),1964,Stanley Kubrick,8.3,
The Time Travelers (1964),1974,Unknown,N/A,
Fail-Safe (1964),1964,Sidney Lumet,8.0,
The Last Man on Earth (1964),1964,Ubaldo Ragona,6.7,
Crack in the World (1965),1965,Andrew Marton,5.9,
Daleks – Invasion Earth: 2150 A.D. (1966),1966,Gordon Flemyng,5.9,
In the Year 2889 (1967),2016,Unknown,7.5,
Late August at the Hotel Ozone (1967),1967,Jan Schmidt,6.6,
Night of the Living Dead (1968),1968,George A. Romero,7.8,
Planet of the Apes (1968),1968,Franklin J. Schaffner,8.0,
Il seme dell'uomo (1969),1969,Marco Ferreri,6.6,
The Bed-Sitting Room (1969),1969,Richard Lester,6.1,
Colossus: The Forbin Project (1970),1970,Joseph Sargent,7.1,
Beneath the Planet of the Apes (1970),1970,Ted Post,6.0,
No Blade of Grass (1970),1970,Cornel Wilde,5.8,
Gas-s-s-s (1970),1970,Robert Altman,7.4,
The Andromeda Strain (1971),1971,Robert Wise,7.2,
Escape from the Planet of the Apes (1971),1971,Don Taylor,6.3,
The Omega Man (1971),1971,Boris Sagal,6.4,
Glen and Randa (1971),1971,Jim McBride,5.3,
Beware! The Blob (1972),N/A,Unknown,N/A,
A Thief in the Night (1972),1972,Donald W. Thompson,4.6,
Conquest of the Planet of the Apes (1972),1972,J. Lee Thompson,6.1,
A Distant Thunder (1972),1978,Donald W. Thompson,5.1,
Silent Running (1972),1972,Douglas Trumbull,6.6,
Soylent Green (1973),1973,Richard Fleischer,7.0,
Battle for the Planet of the Apes (1973),1973,J. Lee Thompson,5.4,
Genesis II (1973),1973,John Llewellyn Moxey,5.9,
The Final Programme (The Last Days of Man on Earth) (1973),1973,Robert Fuest,5.4,
Zardoz (1974),1974,John Boorman,5.8,
Phase IV (1974),1974,Saul Bass,6.4,
Planet Earth (1974),1974,Marc Daniels,5.7,
Where Have All The People Gone? (1974),1974,John Llewellyn Moxey,6.0,
Black Moon (1975),1975,Louis Malle,6.1,
The Noah (1975),1975,Daniel Bourla,6.2,
The Ultimate Warrior (1975),1975,Robert Clouse,5.6,
A Boy and His Dog (1975),1975,L.Q. Jones,6.4,
"The Late, Great Planet Earth (1976)",1978,Robert Amram,3.7,
Logan's Run (1976),1976,Michael Anderson,6.8,
The People Who Own the Dark (1976),1976,León Klimovsky,5.6,
Damnation Alley (1977),1977,Jack Smight,5.3,
End of the World (1977),1977,John Hayes,3.1,
Holocaust 2000 (1977),1977,Alberto De Martino,5.5,
Wizards (1977),1977,Ralph Bakshi,6.3,
The Last Wave (1977),1977,Peter Weir,6.9,
Dawn of the Dead (1978),1978,George A. Romero,7.8,
Invasion of the Body Snatchers (1978),1978,Philip Kaufman,7.4,
Mad Max (1979),N/A,Unknown,N/A,
Quintet (1979),1979,Robert Altman,5.0,
Ravagers (1979),1979,Richard Compton,4.6,
The Shape of Things to Come (1979),1979,George McCowan,3.2,
Stalker (1979),1979,Andrei Tarkovsky,8.1,
